"LocalID";"AWArt";"AWArt_Bez";"VKPreis";"VKPreis_Brutto";"EKPreis";"AWMinuten";"c_date"
"0007BD7B-6934-4893-B971-CCA4857B1789";"EL";"Elektrikarbeiten";12,40;14,76;6,80;6,00;"01.07.2023 11:29:12"
"0007BD7B-6934-4893-B971-CCA4857B1789";"KA";"Karosseriearbeiten";13,00;15,47;6,80;6,00;"01.07.2023 11:29:12"
"0007BD7B-6934-4893-B971-CCA4857B1789";"LA";"Lackierarbeiten";13,00;15,47;6,80;6,00;"01.07.2023 11:29:12"
"0007BD7B-6934-4893-B971-CCA4857B1789";;"Verrechnungssatz Autohaus Zorn";85,71;102,00;6,90;6,00;"01.07.2023 11:29:12"
"0007BD7B-6934-4893-B971-CCA4857B1789";"WS";"Werkstattarbeiten";10,30;12,26;6,30;6,00;"01.07.2023 11:29:12"
"0007BD7B-6934-4893-B971-CCA4857B1789";"ZB";"Zubehörarbeiten";9,00;10,71;6,30;6,00;"01.07.2023 11:29:12"
"0007BD7B-6934-4893-B971-CCA4857B1789";"EL";"Elektrikarbeiten";12,40;14,76;6,80;6,00;"01.08.2023 07:47:16"
"0007BD7B-6934-4893-B971-CCA4857B1789";"KA";"Karosseriearbeiten";13,00;15,47;6,80;6,00;"01.08.2023 07:47:16"
"0007BD7B-6934-4893-B971-CCA4857B1789";"LA";"Lackierarbeiten";13,00;15,47;6,80;6,00;"01.08.2023 07:47:16"
"0007BD7B-6934-4893-B971-CCA4857B1789";;"Verrechnungssatz Autohaus Zorn";85,71;102,00;6,90;6,00;"01.08.2023 07:47:16"
"0007BD7B-6934-4893-B971-CCA4857B1789";"WS";"Werkstattarbeiten";10,30;12,26;6,30;6,00;"01.08.2023 07:47:16"
"0007BD7B-6934-4893-B971-CCA4857B1789";"ZB";"Zubehörarbeiten";9,00;10,71;6,30;6,00;"01.08.2023 07:47:16"
"00354AA2-C249-4F73-9B3E-BA3CF2A92E90";"KA";"Karosseriearbeiten";65,00;77,35;0,00;6,00;"01.08.2023 07:30:16"
"00354AA2-C249-4F73-9B3E-BA3CF2A92E90";"LA";"Lackierarbeiten";95,00;113,05;0,00;6,00;"01.08.2023 07:30:16"
"00354AA2-C249-4F73-9B3E-BA3CF2A92E90";;"Standard Verrechnungssatz";55,00;65,45;0,00;6,00;"01.08.2023 07:30:16"
"00354AA2-C249-4F73-9B3E-BA3CF2A92E90";"WS";"Werkstattarbeiten";7,14;8,50;0,00;6,00;"01.08.2023 07:30:16"
"0050FBDF-F1E3-40F4-B772-7B0BD3184CD8";;"ABC";18,90;22,49;0,00;6,00;"01.08.2023 08:35:40"
"0050FBDF-F1E3-40F4-B772-7B0BD3184CD8";"EL";"Elektrikarbeiten";15,90;18,92;0,00;6,00;"01.08.2023 08:35:40"
